name,address,latitude,longitude
Unknown,Unknown Address,52.5219512,-6.9648345
Ballyleague Hall,Unknown Address,53.6760199,-8.0054211
Unknown,Unknown Address,53.7535089,-6.879198
Unknown,Unknown Address,55.0775079,-6.8338679
Unknown,Unknown Address,52.6011018,-6.9526054
Unknown,Unknown Address,54.7720094,-6.5767065
Unknown,Unknown Address,53.9640147,-6.3650936
Unknown,Unknown Address,54.9235708,-6.670359
Fairhill Parking,Unknown Address,54.843776,-6.675325
Unknown,Unknown Address,54.8074423,-6.2112916
Unknown,Unknown Address,54.6053768,-6.2035831
Portnahapple Car Park,Unknown Address,55.1799509,-6.7235424
Unknown,Unknown Address,53.294523,-7.2927117
Unknown,Unknown Address,53.7193959,-8.9979267
Unknown,Unknown Address,55.1803174,-6.7126937
Athlone Town Centre,Unknown Address,53.4252613,-7.93718
Unknown,Unknown Address,52.9836515,-6.0414455
Unknown,Unknown Address,55.016978,-5.976303
Unknown,Unknown Address,53.3510857,-7.5920141
Unknown,Unknown Address,53.6676617,-8.7389296
Combaun Woods Car Park,Unknown Address,52.3188341,-8.2650946
Sorrel Hill Car Park,Unknown Address,53.1381994,-6.4409977
Boden's Well,Unknown Address,53.1357152,-6.4883187
Unknown,Unknown Address,53.107104,-6.4915518
Unknown,Unknown Address,52.1750983,-7.8302455
Unknown,Unknown Address,55.1664388,-6.7052696
Unknown,Unknown Address,55.1036157,-6.5988136
Unknown,Unknown Address,55.1016846,-6.5945479
Free car park,Unknown Address,54.4807472,-6.228228
Kill O'The Grange Church Car Park,Unknown Address,53.2783169,-6.1620675
Unknown,Unknown Address,53.0600931,-6.2307696
Unknown,Unknown Address,54.5090315,-6.0748028
Mullaghmeen Forest,Unknown Address,53.7490231,-7.2737712
Unknown,Unknown Address,53.363809,-6.2359608
Unknown,Unknown Address,55.1379104,-6.7378228
Point Square Car Park,Unknown Address,53.3497022,-6.2280749
Unknown,Unknown Address,52.6724549,-7.2599269
Unknown,Unknown Address,54.3286567,-8.5011677
Lough Easkey,Unknown Address,54.1596541,-8.8442598
Unknown,Unknown Address,54.5773568,-5.8868526
Unknown,Unknown Address,54.5777699,-5.8822023
Unknown,Unknown Address,54.5779157,-5.8802884
Unknown,Unknown Address,54.5771691,-5.8890613
Newgrange Car Park,Unknown Address,53.6517358,-6.6825162
Unknown,Unknown Address,53.2244638,-6.1260426
Unknown,Unknown Address,53.2577172,-9.0868734
Unknown,Unknown Address,53.2573248,-9.0918072
Unknown,Unknown Address,53.2577956,-9.0860932
Unknown,Unknown Address,53.2582101,-9.0834837
Unknown,Unknown Address,53.2865352,-9.0355684
Unknown,Unknown Address,53.0686742,-6.5319219
Union Wood,Unknown Address,54.2134212,-8.4711756
Unknown,Unknown Address,53.2601375,-9.078292
Unknown,Unknown Address,53.2582187,-9.0813941
Unknown,Unknown Address,53.2601356,-9.0757119
Unknown,Unknown Address,53.260746,-9.0753059
Unknown,Unknown Address,53.2614288,-9.0744419
Unknown,Unknown Address,53.7816071,-7.3897917
Car Park,Unknown Address,53.2322524,-7.7276262
County Council Parking,Unknown Address,53.2691552,-7.4991489
Unknown,Unknown Address,53.2739402,-7.4870658
Unknown,Unknown Address,53.2693367,-7.4956113
Unknown,Unknown Address,53.2731767,-7.4897212
Unknown,Unknown Address,53.3304778,-7.5117066
Unknown,Unknown Address,53.2740406,-9.0426846
Unknown,Unknown Address,54.2956557,-9.3767798
Tesco,Unknown Address,53.3602787,-6.2998629
Unknown,Unknown Address,53.4689514,-7.1121747
Unknown,Unknown Address,54.7031435,-8.7676871
Unknown,Unknown Address,53.2777644,-6.2654799
Tesco parking,Unknown Address,53.6971908,-6.2489003
Unknown,Unknown Address,52.3025022,-8.4952757
Unknown,Unknown Address,52.482937,-7.0623926
Unknown,Unknown Address,52.4041461,-6.8791338
Burtown House and Gardens car park,Unknown Address,52.9981443,-6.8703578
Unknown,Unknown Address,53.6070135,-9.9891987
Unknown,Unknown Address,52.678797,-8.6594671
Unknown,Unknown Address,54.3817912,-5.5470037
Templetown Beach,Unknown Address,53.9819657,-6.1474108
Shelling Hill Beach,Unknown Address,53.9789247,-6.1581611
Rampart Road Car Park,Unknown Address,54.0009292,-6.4033529
Unknown,Unknown Address,53.0603526,-6.2769994
